target,model,feature,category,importance,rank
ai_performance,Random Forest,Unnamed: 0,Other,20.63985252380371,1
ai_performance,Random Forest,Lesion Size_perf_diff,Performance Diff,5.592978477478027,2
ai_performance,Random Forest,Lesion Location_agreement,Agreement,5.280951023101807,3
ai_performance,Random Forest,Histologic Diagnosis_agreement,Agreement,1.9687176942825317,4
ai_performance,Random Forest,Lesion Size_ai_correct,AI-specific,1.964689016342163,5
ai_performance,Random Forest,Lesion Size_agreement,Agreement,1.4025795459747314,6
ai_performance,Random Forest,Histologic Diagnosis_perf_diff,Performance Diff,1.322490930557251,7
ai_performance,Random Forest,Workup Recommendation_agreement,Agreement,1.3052613735198975,8
ai_performance,Random Forest,Receptor Status_agreement,Agreement,1.2292157411575317,9
ai_performance,Random Forest,Lesion Location_perf_diff,Performance Diff,1.170628309249878,10
ai_performance,XGBoost,Unnamed: 0,Other,1.2194191217422485,1
ai_performance,XGBoost,Lesion Location_agreement,Agreement,0.2562510073184967,2
ai_performance,XGBoost,Lesion Size_ai_correct,AI-specific,0.1694134622812271,3
ai_performance,XGBoost,Histologic Diagnosis_ai_correct,Element AI,0.16373157501220703,4
ai_performance,XGBoost,Workup Recommendation_perf_diff,Performance Diff,0.1627899408340454,5
ai_performance,XGBoost,Receptor Status_agreement,Agreement,0.07333579659461975,6
ai_performance,XGBoost,Histologic Diagnosis_agreement,Agreement,0.03838348388671875,7
ai_performance,XGBoost,Lymph Node_agreement,Agreement,0.03656838834285736,8
ai_performance,XGBoost,Chronology Preserved_ai_correct,Element AI,0.033521976321935654,9
ai_performance,XGBoost,Receptor Status_ai_correct,Element AI,0.0258285254240036,10
ai_performance,Gradient Boosting,Unnamed: 0,Other,1.9893120527267456,1
ai_performance,Gradient Boosting,Lesion Size_agreement,Agreement,0.6434527635574341,2
ai_performance,Gradient Boosting,Workup Recommendation_agreement,Agreement,0.299075722694397,3
ai_performance,Gradient Boosting,Receptor Status_ai_correct,Element AI,0.14881810545921326,4
ai_performance,Gradient Boosting,Invasive Component Size (Pathology)_perf_diff,Performance Diff,0.139396071434021,5
ai_performance,Gradient Boosting,Receptor Status_agreement,Agreement,0.12820132076740265,6
ai_performance,Gradient Boosting,Workup Recommendation_perf_diff,Performance Diff,0.09990661591291428,7
ai_performance,Gradient Boosting,Lymph Node_agreement,Agreement,0.04218803718686104,8
ai_performance,Gradient Boosting,Invasive Component Size (Pathology)_agreement,Agreement,0.026766737923026085,9
ai_performance,Gradient Boosting,Accurate Clip Placement_agreement,Agreement,0.0226898156106472,10
ai_total_correct,Random Forest,Unnamed: 0,Other,3941.311279296875,1
ai_total_correct,Random Forest,Lesion Location_agreement,Agreement,1037.3662109375,2
ai_total_correct,Random Forest,Lesion Size_perf_diff,Performance Diff,950.095458984375,3
ai_total_correct,Random Forest,Lesion Size_ai_correct,AI-specific,539.6970825195312,4
ai_total_correct,Random Forest,Histologic Diagnosis_agreement,Agreement,349.477294921875,5
ai_total_correct,Random Forest,Lesion Size_agreement,Agreement,272.97918701171875,6
ai_total_correct,Random Forest,Histologic Diagnosis_perf_diff,Performance Diff,271.255126953125,7
ai_total_correct,Random Forest,Receptor Status_agreement,Agreement,264.75628662109375,8
ai_total_correct,Random Forest,Workup Recommendation_agreement,Agreement,260.4468078613281,9
ai_total_correct,Random Forest,Chronology Preserved_agreement,Agreement,226.7273712158203,10
ai_total_correct,XGBoost,Unnamed: 0,Other,213.01834106445312,1
ai_total_correct,XGBoost,Lesion Size_ai_correct,AI-specific,23.436260223388672,2
ai_total_correct,XGBoost,Calcifications / Asymmetry_agreement,Agreement,8.291640281677246,3
ai_total_correct,XGBoost,Workup Recommendation_perf_diff,Performance Diff,7.096227169036865,4
ai_total_correct,XGBoost,Histologic Diagnosis_ai_correct,Element AI,7.002197265625,5
ai_total_correct,XGBoost,Biopsy Method_agreement,Agreement,6.059487342834473,6
ai_total_correct,XGBoost,Receptor Status_agreement,Agreement,5.856919288635254,7
ai_total_correct,XGBoost,Lymph Node_agreement,Agreement,5.3711256980896,8
ai_total_correct,XGBoost,Lymph Node_ai_correct,Element AI,5.242051601409912,9
ai_total_correct,XGBoost,Lesion Location_agreement,Agreement,5.192367076873779,10
ai_total_correct,Gradient Boosting,Unnamed: 0,Other,389.72119140625,1
ai_total_correct,Gradient Boosting,Lesion Size_agreement,Agreement,125.99959564208984,2
ai_total_correct,Gradient Boosting,Workup Recommendation_agreement,Agreement,58.986244201660156,3
ai_total_correct,Gradient Boosting,Receptor Status_ai_correct,Element AI,31.95490074157715,4
ai_total_correct,Gradient Boosting,Invasive Component Size (Pathology)_perf_diff,Performance Diff,27.183504104614258,5
ai_total_correct,Gradient Boosting,Receptor Status_agreement,Agreement,25.26043128967285,6
ai_total_correct,Gradient Boosting,Workup Recommendation_perf_diff,Performance Diff,19.90681266784668,7
ai_total_correct,Gradient Boosting,Lymph Node_agreement,Agreement,8.423781394958496,8
ai_total_correct,Gradient Boosting,Invasive Component Size (Pathology)_agreement,Agreement,4.690128803253174,9
ai_total_correct,Gradient Boosting,Accurate Clip Placement_agreement,Agreement,4.44719934463501,10
human_advantage,Random Forest,Chronology Preserved_perf_diff,Performance Diff,18.691112518310547,1
human_advantage,Random Forest,Lesion Size_perf_diff,Performance Diff,15.936468124389648,2
human_advantage,Random Forest,Accurate Clip Placement_perf_diff,Performance Diff,13.795321464538574,3
human_advantage,Random Forest,Invasive Component Size (Pathology)_perf_diff,Performance Diff,9.091115951538086,4
human_advantage,Random Forest,Chronology Preserved_agreement,Agreement,5.934774398803711,5
human_advantage,Random Forest,Lesion Location_perf_diff,Performance Diff,5.181211948394775,6
human_advantage,Random Forest,Lesion Size_ai_correct,AI-specific,4.3087544441223145,7
human_advantage,Random Forest,Workup Recommendation_perf_diff,Performance Diff,4.069497585296631,8
human_advantage,Random Forest,Lymph Node_perf_diff,Performance Diff,4.044342994689941,9
human_advantage,Random Forest,Workup Recommendation_agreement,Agreement,4.034204959869385,10
human_advantage,XGBoost,Lesion Location_ai_correct,AI-specific,0.6848059892654419,1
human_advantage,XGBoost,Lesion Size_perf_diff,Performance Diff,0.6512029767036438,2
human_advantage,XGBoost,Chronology Preserved_perf_diff,Performance Diff,0.5578805208206177,3
