obs_idx,AI,Human,complexity,ai_minus_human
0,1.0,1.0,Low Complexity,0.0
1,0.9090909090909091,0.8333333333333334,Low Complexity,0.07575757575757569
2,0.8333333333333334,1.0,High Complexity,-0.16666666666666663
3,0.8181818181818182,0.7272727272727273,Low Complexity,0.09090909090909094
4,0.9090909090909091,0.8181818181818182,Low Complexity,0.09090909090909083
5,1.0,1.0,High Complexity,0.0
6,0.8,0.9,Low Complexity,-0.09999999999999998
7,1.0,0.9230769230769231,High Complexity,0.07692307692307687
8,1.0,0.9,Low Complexity,0.09999999999999998
9,1.0,0.8888888888888888,Low Complexity,0.11111111111111116
10,1.0,0.8333333333333334,High Complexity,0.16666666666666663
11,0.9285714285714286,0.9285714285714286,High Complexity,0.0
12,0.8181818181818182,0.9090909090909091,Low Complexity,-0.09090909090909083
13,1.0,0.8,Low Complexity,0.19999999999999996
14,1.0,0.3333333333333333,Low Complexity,0.6666666666666667
15,1.0,1.0,Low Complexity,0.0
16,0.8888888888888888,1.0,Low Complexity,-0.11111111111111116
17,1.0,1.0,High Complexity,0.0
18,1.0,1.0,Low Complexity,0.0
19,1.0,0.875,Low Complexity,0.125
20,1.0,0.9285714285714286,High Complexity,0.0714285714285714
21,1.0,1.0,High Complexity,0.0
22,0.9230769230769231,1.0,High Complexity,-0.07692307692307687
23,1.0,1.0,High Complexity,0.0
24,1.0,0.9090909090909091,Low Complexity,0.09090909090909094
25,1.0,0.8461538461538461,High Complexity,0.15384615384615385
26,0.9230769230769231,0.9230769230769231,High Complexity,0.0
27,0.9,0.7,Low Complexity,0.20000000000000007
28,1.0,0.8571428571428571,High Complexity,0.1428571428571429
29,1.0,0.8333333333333334,High Complexity,0.16666666666666663
30,1.0,1.0,High Complexity,0.0
31,1.0,1.0,High Complexity,0.0
32,1.0,1.0,High Complexity,0.0
33,1.0,1.0,High Complexity,0.0
34,0.8571428571428571,1.0,Low Complexity,-0.1428571428571429
35,1.0,1.0,Low Complexity,0.0
36,1.0,1.0,Low Complexity,0.0
37,0.7142857142857143,0.9285714285714286,Low Complexity,-0.2142857142857143
38,0.8571428571428571,1.0,High Complexity,-0.1428571428571429
39,1.0,1.0,Low Complexity,0.0
40,1.0,0.9285714285714286,High Complexity,0.0714285714285714
